English
Go.
Hi.
Run!
Run.
Who?
Wow!
Fire!
Help!
Hide.
Jump!
Jump.
Stay.
Stop!
Wait!
Wait.
Do it.
Go on.
Hello!
Hurry!
I ran.
I see.
I try.
I won!
Oh no!
Relax.
Shoot!
Smile.
Attack!
Cheers!
Eat it.
Eat up.
Freeze!
Get up.
Go now.
Got it!
Got it?
He ran.
Hop in.
Hug me.
I fell.
I knit.
I know.
I left.
I lied.
I lost.
I paid.
I quit.
I swim.
I work.
I'm 19.
I'm OK.
I'm up.
Listen.
No way!
Really?
Try it.
We try.
We won.
Why me?
Ask Tom.
Awesome!
Be calm.
Be fair.
Be nice.
Beat it.
Burn it.
Call me.
Call us.
Come in.
Come on!
Come on.
Drop it!
Drop it.
Fold it.
Get Tom.
Get out!
Get out.
Go away!
Go away.
Go back.
Go home.
Go slow.
Goodbye!
Hang on.
He came.
He quit.
He runs.
Help me!
Help me.
Help us.
"Hi, Tom."
Hit Tom.
Hold it!
Hold on.
Hug Tom.
I agree.
I bowed.
I cried.
I dozed.
I drove.
I moved.
I slept.
I snore.
I stood.
I swore.
I tried.
I waved.
I'll go.
I'm Tom.
I'm bad.
I'm fat.
I'm fit.
I'm hit!
I'm hot.
I'm ill.
I'm mad.
I'm new.
I'm old.
I'm sad.
I'm shy.
I'm wet.
It's OK.
It's me!
It's me.
Join us.
Keep it.
Kill it.
Kiss me.
Lock it.
Look up.
"Me, too."
Open up.
Perfect!
Pull it.
Quit it!
See you!
See you.
Show me.
Shut up!
Skip it.
So long.
Stop it.
Take it.
Tell me.
Tom ate.
Tom ran.
Tom won.
Wake up!
Wake up.
Wash up.
We care.
We know.
We lost.
Who ate?
Who ran?
Who won?
Why not?
You run.
You won.
Am I fat?
Ask them.
Back off!
Back off.
Be a man.
Be brave.
Be brief.
Be quiet.
Beats me.
Buzz off.
"Bye, Tom."
Call Tom.
Cheer up!
Cheer up.
Cool off!
Cuff him.
Don't go.
Drive on.
Find Tom.
Fix this.
Get away!
Get down!
Get down.
Get lost!
Get lost.
Get real!
Get real.
Go ahead!
Go ahead.
Go on in.
Good job!
Grab Tom.
Grab him.
Have fun.
He spoke.
He tried.
He's wet.
Help Tom.
"Hi, guys."
How cute!
How deep?
How rude!
Humor me.
Hurry up.
I agreed.
I am old.
I ate it.
I burped.
I can go.
I danced.
I did it.
I failed.
I gasped.
I get by.
I goofed.
I got it.
I got up.
I helped.
I jumped.
I looked.
I moaned.
I nodded.
I obeyed.
I paused.
I phoned.
I prayed.
I refuse.
I resign.
I saw it.
I shaved.
I sighed.
I smiled.
I stayed.
I talked.
I use it.
I waited.
I winked.
I yawned.
I'd wait.
I'll ask.
I'll die.
I'll pay.
I'll try.
I'll win.
I'm a DJ.
I'm back.
I'm bald.
I'm busy.
I'm calm.
I'm cold.
I'm cool.
I'm deaf.
I'm done.
I'm easy.
